,datetime,id,tweet
0,2021-04-29 03:57:55,1387617112898908162,"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s seventh launch and lan…"
1,2021-04-29 01:07:51,1387574315969880068,"@jgrano305 @tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Hopefully, later this year for several more states. Insu… https://t.co/KZHBd43bxA"
2,2021-04-29 01:05:26,1387573708483710978,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla And hopefully EU this summer
3,2021-04-29 01:04:40,1387573516040609796,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Probably a few months. There are many subtle differences between US &amp; Canada driving.
4,2021-04-29 01:02:04,1387572858768007179,@teslaownersSV @TeslaNY @Tesla Gating factor is achieving &amp; proving higher safety with pure vision than with vision… https://t.co/TW7MpE8Ayi
5,2021-04-29 00:05:15,1387558563208368131,@teslaownersSV @TeslaNY @Tesla Probably two weeks
6,2021-04-28 23:57:34,1387556627298070531,@TeslaNY @Tesla Good technical analysis
7,2021-04-28 22:22:53,1387532802116173825,@heydave7 Yes
8,2021-04-28 21:55:33,1387525922463666179,"@squawksquare Sorry 🤣🤣 
https://t.co/v98BnxPXg6"
9,2021-04-28 21:50:07,1387524555409924102,@WR4NYGov @garyblack00 @Tesla @WholeMarsBlog 🤣🤣 exactly
10,2021-04-28 21:48:58,1387524266191687685,@OwenSparks_ @nbcsnl @MileyCyrus Might be something there haha
11,2021-04-28 21:46:45,1387523708458254337,"@skorusARK Best-selling by revenue in 2022, possibly by unit volume in 2023"
12,2021-04-28 19:49:09,1387494112904060933,@collision @SpaceX Cool! 🇮🇪
13,2021-04-28 08:54:22,1387329332541104131,@RationalEtienne @Erdayastronaut @Twisi80 Starship is literally more pointy because of that movie haha
14,2021-04-28 08:51:43,1387328662073188353,@RiusJulien https://t.co/paTKsQjNp8
15,2021-04-28 08:43:37,1387326627160408067,"♥️
https://t.co/juLuKlymEX"
16,2021-04-28 07:33:33,1387308991743672322,@AstroJordy @wapodavenport 0% so far
17,2021-04-28 06:21:41,1387290907108679680,@muratpak 🔥
18,2021-04-28 06:20:47,1387290679794089986,"The Dogefather
SNL May 8"
19,2021-04-28 04:53:39,1387268753369583616,"@wapodavenport Did my heart love till now? forswear it, sight!
For I ne'er saw true beauty till this night."
20,2021-04-28 04:44:21,1387266412683702274,"@wapodavenport Romeo + Juliet, fish tank scene"
21,2021-04-28 03:25:43,1387246623340732421,@Erdayastronaut @Twisi80 Testing header tanks. All good so far.
22,2021-04-27 23:01:26,1387180114836967427,"@leastImAlive @thesheetztweetz They have an important role to play in protecting the public from getting swindled,… https://t.co/DJ2SUlliJZ"
23,2021-04-27 22:45:43,1387176157737541641,"@thesheetztweetz FCC is fair &amp; sensible. NHTSA &amp; FAA too. 99.9% of the time, I agree with regulators! 

On rare occ… https://t.co/w8mxrjXh3p"
24,2021-04-27 22:32:29,1387172830094233601,"@garyblack00 Other companies spend money on advertising &amp; manipulating public opinion, Tesla focuses on the product. 

I trust the people."
25,2021-04-27 21:34:19,1387158189985173505,@DocumentingBTC Yes
26,2021-04-27 20:25:41,1387140919145766912,@PPathole Yup
