,Unnamed: 0,datetime,id,tweet,emoji mood,usernames,hyperlink
0,0,2021-04-29 03:57:55,1387617112898908162,rt  falcon 9s first stage landed read instructions droneship completing boosters seventh launch lan,[],['@SpaceX:'],
1,1,2021-04-29 01:07:51,1387574315969880068,hopefully later year several states insu,[],"['@jgrano305', '@tobyliiiiiiiiii', '@teslaownersSV', '@TeslaNY', '@Tesla']",https://t.co/KZHBd43bxA
2,2,2021-04-29 01:05:26,1387573708483710978,hopefully eu summer,[],"['@tobyliiiiiiiiii', '@teslaownersSV', '@TeslaNY', '@Tesla']",
3,3,2021-04-29 01:04:40,1387573516040609796,probably months many subtle differences us amp canada driving,[],"['@tobyliiiiiiiiii', '@teslaownersSV', '@TeslaNY', '@Tesla']",
4,4,2021-04-29 01:02:04,1387572858768007179,gating factor achieving amp proving higher safety pure vision vision,[],"['@teslaownersSV', '@TeslaNY', '@Tesla']",https://t.co/TW7MpE8Ayi
5,5,2021-04-29 00:05:15,1387558563208368131,probably two weeks,[],"['@teslaownersSV', '@TeslaNY', '@Tesla']",
6,6,2021-04-28 23:57:34,1387556627298070531,good technical analysis,[],"['@TeslaNY', '@Tesla']",
7,7,2021-04-28 22:22:53,1387532802116173825,yes,[],['@heydave7'],
8,8,2021-04-28 21:55:33,1387525922463666179,sorry,['rolling on the floor laughing'],['@squawksquare'],"
https://t.co/v98BnxPXg6"
9,9,2021-04-28 21:50:07,1387524555409924102,exactly,['rolling on the floor laughing'],"['@WR4NYGov', '@garyblack00', '@Tesla', '@WholeMarsBlog']",
10,10,2021-04-28 21:48:58,1387524266191687685,might something haha,[],"['@OwenSparks_', '@nbcsnl', '@MileyCyrus']",
11,11,2021-04-28 21:46:45,1387523708458254337,bestselling revenue 2022 possibly unit volume 2023,[],['@skorusARK'],
12,12,2021-04-28 19:49:09,1387494112904060933,cool,['flag: Ireland'],"['@collision', '@SpaceX']",
13,13,2021-04-28 08:54:22,1387329332541104131,starship literally pointy movie haha,[],"['@RationalEtienne', '@Erdayastronaut', '@Twisi80']",
14,14,2021-04-28 08:51:43,1387328662073188353,,[],['@RiusJulien'],https://t.co/paTKsQjNp8
15,15,2021-04-28 08:43:37,1387326627160408067,,['heart suit'],[],"♥️
https://t.co/juLuKlymEX"
16,16,2021-04-28 07:33:33,1387308991743672322,0 far,[],"['@AstroJordy', '@wapodavenport']",
17,17,2021-04-28 06:21:41,1387290907108679680,,['fire'],['@muratpak'],
18,18,2021-04-28 06:20:47,1387290679794089986,dogefathersnl may 8,[],[],
19,19,2021-04-28 04:53:39,1387268753369583616,heart love till now forswear it sightfor neer saw true beauty till night,[],['@wapodavenport'],
20,20,2021-04-28 04:44:21,1387266412683702274,romeo  juliet fish tank scene,[],['@wapodavenport'],
21,21,2021-04-28 03:25:43,1387246623340732421,testing header tanks good far,[],"['@Erdayastronaut', '@Twisi80']",
22,22,2021-04-27 23:01:26,1387180114836967427,important role play protecting public getting swindled,[],"['@leastImAlive', '@thesheetztweetz']",https://t.co/DJ2SUlliJZ
